,Segment,R2,RMSE,Size
6,No_Other side reversed into clt's stationary vehicle_,0.9992706449416531,9.360206303955914,61
9,No_Rear end - 3 car - Clt at front_,0.999137958295999,26.86115214360384,135
1,No_Other side changed lanes on a roundabout colliding with clt's vehicle_,0.9979964600191475,30.9472235432774,78
10,No_Rear end - Clt pushed into next vehicle_,0.9561576600683933,170.19969950450007,224
11,No_Rear end_,0.9554590501950706,164.13166029834048,2303
2,No_Other side drove on wrong side of the road_,0.9507542521703303,128.23073550477318,84
5,No_Other side reversed into Clt's vehicle_,0.8594192726702474,161.54683916461317,94
4,No_Other side pulled out of side road_,0.8530135764460277,302.91741701728523,525
14,Yes_Rear end_,0.8284934340479865,319.07105850393623,151
3,No_Other side pulled on to roundabout_,0.7674804224756702,406.4344255311827,67
8,No_Other_,0.7359131681424154,480.37142670591004,300
7,No_Other side turned across Clt's path_,0.6638573287976474,518.39573580941,245
0,No_Other side changed lanes and collided with clt's vehicle_,0.6563458420760138,307.05027902552484,176
12,No_Unknown_,0.6422577031673966,532.2647737483155,95
13,Unknown_Rear end_,0.6422018888075602,597.4049501669687,50
